club,last_name,first_name,position,base_salary,guaranteed_compensation,year,conference
Real Salt Lake,Williams,Andy,M,99225.0,99225.0,2011,Western
Pool,Williams,Dicoy,D,50004.0,50004.0,2011,
DC United,Willis,Joe,G,42000.0,42000.0,2011,Eastern
Real Salt Lake,Wingert,Chris,D,135000.0,135000.0,2011,Western
DC United,Wolff,Josh,F,160000.0,160000.0,2011,Eastern
San Jose Earthquakes,Wondolowski,Chris,M,175000.0,175000.0,2011,Western
DC United,Woolard,Daniel,D,50000.0,50000.0,2011,Eastern
Colorado Rapids,Wynne,Marvell,D,225000.0,301666.67,2011,Western
Pool,Yourassowsky,Mikael,D,80004.0,81670.67,2011,
Seattle Sounders FC,Zakuani,Steve,F,90000.0,188000.0,2011,Western
Pool,Zavarise,Gianluca,M,42000.0,46517.75,2011,
DC United,Zayner,Jed,D,66500.0,70375.0,2011,Eastern
Chivas USA,Zemanski,Ben,M,44000.0,44000.0,2011,Western
New England Revolution,Zerka,Monsef,F,216000.0,226000.0,2011,Eastern
Portland Timbers,Zizzo,Sal,F,65000.0,73250.0,2011,Western
San Jose Earthquakes,Zura,Edmundo,F,48000.0,48000.0,2011,Western
Pool,Zusi,Graham,F,42000.0,42000.0,2011,
Pool,Abang,Anatole,F,50000.0,50000.0,2015,
Pool,Abdul-Salaam,Saad,D,60000.0,73750.0,2015,
Chicago Fire,Accam,David,F,650000.0,720937.5,2015,Eastern
FC Dallas,Acosta,Kellyn,M,60000.0,84000.0,2015,Western
Vancouver Whitecaps,Adekugbe,Samuel,D,60000.0,65000.0,2015,Western
Portland Timbers,Adi,Fanendo,F,651500.0,664000.0,2015,Western
Columbus Crew,Afful,Harrison,D,150000.0,150000.0,2015,Eastern
New England Revolution,Agudelo,Juan,F,400000.0,427500.0,2015,Eastern
DC United,Aguilar,Miguel,M,60000.0,60000.0,2015,Eastern
FC Dallas,Akindele,Tesho,F,70000.0,87500.0,2015,Western
San Jose Earthquakes,Alashe,Fatai,M,60000.0,76250.0,2015,Western
Houston Dynamo,Alex,,M,142000.0,142000.0,2015,Western
Montreal Impact,Alexander,Eric,M,140000.0,153750.0,2015,Eastern
Real Salt Lake,Allen,Jordan,F,80000.0,90000.0,2015,Western
New York City FC,Allen,RJ,D,60000.0,60000.0,2015,Eastern
